ID,Name,url,addr,Longitude,Latitude,gisx,gisy,Tel,OpenTime
hotpot1,8鍋臭臭鍋,http://www.wd1000.url.tw/8pot/,新北市新莊區建國一路46號(輔大正對面) ,121.433942,25.03108,,,02-2903-4863,AM11:00 ~ PM11:15
hotpot2,石二鍋,https://www.12hotpot.com.tw/index.html,新北市新莊區建國一路61號,121.434749,25.030009,,,02 2908 4166,AM11:00 ~ PM11:00
hotpot3,鮮友火鍋,http://www.shian-yeou.com.tw/about_us/,新北市新莊區中正路471號,121.441724,25.033668,,,02 2902 6988,AM11:00 ~ PM10:00
hotpot4,好事鍋,https://www.facebook.com/MiniHotPotHouse/%5B%E9%A3%9F%E8%A8%98%5D-%E4%B8%80%E5%90%83%E5%86%8D%E5%90%83%E7%9A%84%E5%A5%BD%E5%91%B3%E9%81%93%E2%99%A5%E8%BC%94%E5%A4%A7%E5%A5%BD%E4%BA%8B%E9%8D%8B,新北市新莊區新北市新莊區中正路516-41號,121.432392,25.032112,,,02 2901 8568,"週一~週六AM11:30~PM2:30,PM5:00~PM9:00/週日公休"
hotpot5,讚不絕口,https://www.facebook.com/pages/%E8%AE%9A%E4%B8%8D%E7%B5%95%E5%8F%A3-%E6%96%B0%E8%8E%8A%E8%BC%94%E5%A4%A7%E5%BA%97/739436262771281?fref=ts,新北市新莊區建國一路40號,121.433824,25.031188,,,02 2902 5306,AM11:00 ~ PM11:00
hotpot6,鍋棧,https://www.facebook.com/kuozanghotpot/?fref=ts,新北市泰山區明志路三段38號,121.42296,25.036946,,,02 2904 6828,AM11:00 ~ PM10:00
hotpot7,桔桔鍋,https://www.facebook.com/pages/%E6%A1%94%E6%A1%94%E9%8D%8B%E8%BC%94%E5%A4%A7%E5%BA%97/317076955316871,新北市新莊區建國一路2-1號,121.433546,25.032098,,,02 2908 5566,AM12:00 ~ PM3:00/PM5:00~PM10:00
hotpot8,新濟州韓式豆腐鍋,https://www.facebook.com/pages/%E6%96%B0%E6%BF%9F%E5%B7%9E-%E9%9F%93%E5%BC%8F%E8%B1%86%E8%85%90%E9%8D%8B-%E8%BC%94%E5%A4%A7%E5%BA%97/301631226617078,新北市新莊區新北市新莊區中正路516之6號,121.433156,25.032407,,,02 2902 0555,AM11:00~PM10:30
hotpot9,八雲町和牛海鮮鍋物,http://www.8-jp.com/,新北市新莊區中正路368號,121.443417,25.034306,,,02 2990 6060,"週一~週五AM10:00~PM3:00,PM5:00~PM11:30/週六週日AM10:00~PM11:30"
steak1,超越原味炭烤牛排,https://www.facebook.com/ChaoYuehSteaks.XinzhuangFuJenStore/?fref=ts,新北市新莊區建國一路44號,121.433928,25.031119,,,02 2908 3689,"週一~週四PM5:00~PM11:00/週五~週日AM11:00 ~ PM3:00,PM5:00~PM11:00"
